premise,statement,label,adjective_premise,adjective_statement
The problem is that at least one to two of those hours was spent replaying levels in order to get the necessary seeds in order to proceed in the game. I believe this supports my belief that the backtracking was added in order to pad the length of the game. Fox n Forests is a good action platformer,Fox n Forests is a great action platformer,neutral,good,great
"2 each: 75 calories, 4g fat (2g saturated fat), 11mg cholesterol, 33mg sodium, 9g carbohydrate (5g sugars, 0 fiber), 1g protein. These cookies were very festive looking and easy to make. They tasted good",They tasted great,entailment,good,great
"However, it may ruin your lamb. I’ve had best results with lamb shank, by the way. I have assembled my own SousVide machine at home, and so far so good -:","I have assembled my own SousVide machine at home, and so far so great -:",entailment,good,great
"For more information on individual and team sponsorships, contact Coach Teno, tenoc@seminolestate. edu. It is uncommon that bone fractures do not heal",It is rare that bone fractures do not heal,entailment,uncommon,rare
"It was good, the white one is some kind of Icelandic fish…. it has an interesting texture. The salmon looking fish is not salmon (thanks to Beth H from Trip Advisor it’s called Arctic Char)…it’s caught in the lake next to the hotel! Our meal total $178 for 5 people with one glass of local wine (my best friend ordered it) oh yikes! Our meal was good for $178!!! We decided to cook for tomorrow’s meal because it’s expensive and the menu is limited, if we come back tomorrow, we really have no clue what to order! We could have seen more today but due to the rain, we had to change our plan a little","The salmon looking fish is not salmon (thanks to Beth H from Trip Advisor it’s called Arctic Char)…it’s caught in the lake next to the hotel! Our meal total $178 for 5 people with one glass of local wine (my best friend ordered it) oh yikes! Our meal was great for $178!!! We decided to cook for tomorrow’s meal because it’s expensive and the menu is limited, if we come back tomorrow, we really have no clue what to order! We could have seen more today but due to the rain, we had to change our plan a little",contradiction,good,great
"Many business owners get to the point in their business and their life where things just stop improving. They reach a comfortable level that many call a plateau, where things are good and the majority of their previous level of dissatisfaction is now eliminated","They reach a comfortable level that many call a plateau, where things are great and the majority of their previous level of dissatisfaction is now eliminated",contradiction,good,great
"Sorry. but lets break down Forschners edge taking and holding characteristics, just for fun. It's fair to say they take a good edge easily, wear slowly, but also go out of true easily","Its fair to say they take a great edge easily, wear slowly, but also go out of true easily",contradiction,good,great
Had chicken and waffles because I don’t eat eggs. Very dry and over cooked. Food was good,Food was great,contradiction,good,great
The price of the FRĒ is $79. 99 for iPhone 6. It provides good protection from various environmental hazards,It provides great protection from various environmental hazards,contradiction,good,great
"2009 - A marvelously hot and dry vintage resulted in lower yields and ripe, polished wines from Rioja Alta and the surrounding appellations. From the onset the overwhelming majority of wines from ’09 were open and aromatic while still capable of further development. A very strong vintage after a string of good ones",A very strong vintage after a string of great ones,neutral,good,great
I am generally happy to see that New York has embraced West Coast coffee and have brought that style and game East. I found that there was not much to fault here. Everything was quite good,Everything was great,entailment,good,great
"Part of it depends on how much you want to spend. We tend to be pretty frugal regarding meals and hotels, so it sometimes pained me to spend so much. Example - we found the hotel restaurants to be good",Example - we found the hotel restaurants to be great,neutral,good,great
". a very good mix of people I thought, and a dj that spun some very danceable beats. The energy was nice and the place was small or crowded",The energy was nice and the place was tiny or crowded,entailment,small,tiny
"Expected tender will start in 2019/20. Very precise manufactured aluminum panels, especially thickness must be up to a few µm over the entire surface of the desired shape. Second criteria, a small surface roughness","Second criteria, a tiny surface roughness",neutral,small,tiny
Sushi taste’s hold. All you can eat sushi. Sushi is good,Sushi is great,neutral,good,great
"Chiropractors and physical therapists often employ this method with their patients. A tool is used to “scrape” over the effected area to help break up scar tissue, move toxins out, get rid of tendonitis, while increasing blood flow to the area. I found it uncomfortable until she did it to my quadricep",I found it painful until she did it to my quadricep,entailment,uncomfortable,painful
"New Orleans re-signed forward Al-Farouq Aminu for one-year, $3. 7 million, and the Atlanta Hawks gave a two-year, $5 million contract to DeMarre Carroll. It is uncommon for a potted Ponytail Palm to flower, especially when kept indoors","It is rare for a potted Ponytail Palm to flower, especially when kept indoors",contradiction,uncommon,rare
Rated 4 out of 5 by RevKellie from Game outlasted the story - but it was a good one. I enjoyed this HOG more than I expected to like it. The graphics are good and the story is fantastic,The graphics are great and the story is fantastic,neutral,good,great
According to him artificial gravity and even anti-gravity was within our reach. Now scientists are speaking about moving earth further away from the sun to control climate change. NASA says: ‘This is theoretically possible',NASA says: ‘This is theoretically practical',contradiction,possible,practical
"You have an commentary track with the cast and crew, teaser trailers, outtakes and some okay bloopers, a really nice behind the scenes documentary, three really funny bonus episodes which are about Griff and Simmons faking a sickness so they can get out of work so they can stand in line to buy Halo 4, Sarge showing off a trailer to a darker and gritter version of the show, and an all new episode of Grifball. Last but not least you also have some very funny deleted scenes. Overall this season was good but is still worth a watch as it does progress the story pretty well",Overall this season was great but is still worth a watch as it does progress the story pretty well,contradiction,good,great
You’d pull about a 1. 0-1. 2 – good by any means,2 – great by any means,neutral,good,great
I was impressed that I couldnt taste the 8. 2% alchohl in the flavor. This beer was very smooth and definitely good,This beer was very smooth and definitely great,contradiction,good,great
"In less than a month after surgery, Ive already lost 22lbs! I have NO hunger which was helpful during the clear/liquid diet. The first 24 hours after surgery are a bit uncomfortable",The first 24 hours after surgery are a bit painful,entailment,uncomfortable,painful
He took and held down a feed while we waited as well as the enfalyte feed and iv fluids so we were comfortable with leaving the hospital at the point. He took another feed on the drive home just to make us feel better too. I have to admit I had a horrible experience with them just putting a small iv line in his foot,I have to admit I had a horrible experience with them just putting a tiny iv line in his foot,entailment,small,tiny
The team will need to revisit the hypothesis after the feature is shipped in order to understand if what the team believed at the time was true or not. Writing your hypothesis and think about how you will measure the impact can be done in 10 minutes. Sketching one solution as a group is good,Sketching one solution as a group is great,entailment,good,great
"Fifty percent is better than no protection. There are tests available to diagnose the flu. It requires a quick nasal swab, which is uncomfortable","It requires a quick nasal swab, which is painful",contradiction,uncomfortable,painful
.. it was uncomfortable,it was painful,contradiction,uncomfortable,painful
"A variety that has been around for 10 or 15 years is considered almost antique. For the Sun Crest, introduced in the 1950s, still to be around is rare. In truth, peach connoisseurs regard the Sun Crest variety when grown by most farmers as a good peach","In truth, peach connoisseurs regard the Sun Crest variety when grown by most farmers as a great peach",entailment,good,great
"Location is the best! And very easy to find: just look for the most attractive balcony in Piazza Navona! Host is great! Very safe, clean and spacious room! Especially if you are travelling with babies/kids, very ideal place. Great hotel located a step from Campo di Fiori on one side and Piazza Navona on the other. Room (twin/double room) is small -there's room for everything",Room (twin/double room) is tiny -there's room for everything,contradiction,small,tiny
"The absolute highlight of the trip was our tour guide Richard Wynkoop. Ably assisted by Patrick in the support vehicle. Without Richards experience and local knowledge, the trip wouldn't have been good","Without Richards experience and local knowledge, the trip wouldn't have been great",entailment,good,great
"” Entering through the steamy foyer (thanks to a fog-machine) to the sounds of chanting monks, distant bon-sho bells, or howling wolves, guests must pass the bar’s sentinel: A 14-foot cardboard wolf that artfully guides visitors towards the covert back bar. The massive piece was created by Electric Coffin last year for the Out of Sight exhibition during the Seattle Art Fair, and they have re-homed it here. In the small bar, custom wallpaper (inspired by an original San Francisco Chinese Mai Thai clay bottle) illuminates the original space in the back bar","In the tiny bar, custom wallpaper (inspired by an original San Francisco Chinese Mai Thai clay bottle) illuminates the original space in the back bar",contradiction,small,tiny
"Not to mention I like to get home early to spend a little more time with my family on the weekend. That said I was on the road at 5:30 on my way to Napa. The ride from southern Marin County to Napa is good, unfortunately I had to ride for a section on the dreaded route 37, aka Blood Alley (don’t tell my wife)","The ride from southern Marin County to Napa is great, unfortunately I had to ride for a section on the dreaded route 37, aka Blood Alley (don’t tell my wife)",neutral,good,great
. but after cramping at the Yuengling Shamrock Marathon in March I decided to transfer my registration from the 50-mile to the 50k (31 miles). My training leading up to the race was good,My training leading up to the race was great,neutral,good,great
I felt pretty good with it. I did that 17 miler at 7:50 pace. My quad felt good,My quad felt great,neutral,good,great
The tube travels down your esophagus. The camera takes pictures of the heart and blood vessels from angles that are otherwise impossible to view. A transesophageal echocardiogram is uncomfortable,A transesophageal echocardiogram is painful,contradiction,uncomfortable,painful
"It was the unmitigated disaster I had feared. Today we know that saddle thrombus is almost always associated with a disease called dilated cardiomyopathy. This is a condition, probably with genetic predisposition, that is uncommon in cats","This is a condition, probably with genetic predisposition, that is rare in cats",entailment,uncommon,rare
"Aside from that, Iâ€™m about as discerning as a half-starved Beagle and at least twice as curious. This will undoubtedly give all of you ample opportunity to revel in my regret, confusion, and outrage when things like gummy rats and off-brand frozen egg rolls turn out not to be delicious. I grew up in a small town in the absolute middle of both Southern Illinois and nowhere",I grew up in a tiny town in the absolute middle of both Southern Illinois and nowhere,entailment,small,tiny
"Winning the fight is probably out of the question for Mikey. « Sergey Kovalev has his Belt back, but is he really back?As the conventional wisdom said that, we went with MongoDB for our first attempt at a system that needed to support a very high number of upserts – we were aiming for 50-100k upserted rows per second of unstructured data to be exact. Initial attempts with MongoDB on some very nice hardware (2Tb SSD SAN) produced about 10k upserts per second – good",Initial attempts with MongoDB on some very nice hardware (2Tb SSD SAN) produced about 10k upserts per second – great,neutral,good,great
The techniques are categorized well with each shown multiple times from different angles. Roy’s instruction method is calm and slow which can help White Belts who are easily overwhelmed. The amount of detail is good,The amount of detail is great,entailment,good,great
This guy really hated capitalism. I never did finish reading either one. The Jungle was good,The Jungle was great,contradiction,good,great
Dr. Jamieson specializes in myeloproliferative disorders (MPDs) and leukemia. Myeloproliferative neoplasms are a family of uncommon degenerative disorders in which the body overproduces blood cells,Myeloproliferative neoplasms are a family of rare degenerative disorders in which the body overproduces blood cells,entailment,uncommon,rare
"This heats and destroys the vein wall and stops blood flowing through it. All the endovenous ablation methods are undertaken under local anaesthetic. This is administered though tiny needles, so you will feel the prick of the needle as it enters the skin but most people find this slightly uncomfortable","This is administered though tiny needles, so you will feel the prick of the needle as it enters the skin but most people find this painful",contradiction,uncomfortable,painful
"Gotta love Cheat Neutrals tagline too: Helping you because you cant help yourself. Although this site is a joke, theyve got some good references on carbon offsetting and why they think carbon offsetting is also a joke. I am just wondering if anyone has any thoughts on this particular tape deck??? It is in good condition but it was the best of the lot of 7 that I had the pick of",I am just wondering if anyone has any thoughts on this particular tape deck??? It is in great condition but it was the best of the lot of 7 that I had the pick of,contradiction,good,great
"The logical finger to use when entering text are the two thumbs and even though I have relatively large fingers, I very seldom push a wrong key thanks to the large space between the keys. The QWERTY keyboard forces you to use two hands for input. It is possible to enter characters with one hand",It is practical to enter characters with one hand,neutral,possible,practical
The hike back was just as enjoyable though maybe a little more tiring going up the tall hill from the west side. But not too strenuous and the downhill jaunt to the parking lot at Howland Hill road was fun. Redwood thunder is an uncommon event,Redwood thunder is a rare event,contradiction,uncommon,rare
"Thank you for your reply, and dont worry everyone calls Piper a him. Well definitely have to utilize the drop command with rewards more and more. Like I said before, shes pretty good with it","Like I said before, shes great with it",entailment,good,great
Southwest departs from Midway though and I’d never flown them and had only once flown into Midway before. My first Southwest flight out of Midway changed my travel life forever. Midway is the near perfect secondary airport; small convenient and clean,Midway is the near perfect secondary airport; tiny convenient and clean,entailment,small,tiny
"They are a wise investment and make excellent family heirlooms. Technically speaking, true antique wedding bands for her are over 100 years old. Finding such rings that fit in this category is possible",Finding such rings that fit in this category is practical,contradiction,possible,practical
"DOWNLOAD | READ Silly Lilly in What Will I Be Today? (2011) by Agnes Rosenstiehl in PDF, EPUB formats. review 1: Another graphic novel for the very young. Its good",Its great,contradiction,good,great
"The culprit? A Level 3 error. Primary internet service providers (ISPs) such as Comcast, Verizon, and AT&T all appeared to have issues, and that’s no surprise as Level 3 is a network “backbone” of sorts to these ISPs. These events are uncommon, as it should be remembered that over a year ago on October 2016, a critical DDOS attack on Dyn, an Internet performance management company, crippled the U","These events are rare, as it should be remembered that over a year ago on October 2016, a critical DDOS attack on Dyn, an Internet performance management company, crippled the U",entailment,uncommon,rare
"I have medium sized hands but have no problem gripping this mini-canon. It shoots like a dream and is easy to handle, even with hot loads. The trigger is a standard Glock trigger; good",The trigger is a standard Glock trigger; great,contradiction,good,great
"Romney’s party support has grown while his popular support remains stagnant, this is the question that the nomination turns upon. When your need to know is right now. Traditionally, November is a time for turkey, potatoes, and pumpkin whatever, which is good","Traditionally, November is a time for turkey, potatoes, and pumpkin whatever, which is great",neutral,good,great
"At night, the only other option is some species of owl, but even a saw-whet owl, notorious for its odd sounds, doesn’t make a sound like that. This spring, I apparently have a bumper crop of them, as their sound now outnumbers the spring peepers, at least on Roundtop Mtn. The eastern gray tree frog, the species that lives at Roundtop, is small","The eastern gray tree frog, the species that lives at Roundtop, is tiny",entailment,small,tiny
"Oh yes, I forgot to mention, my hospitals gowns always have to be put on to open in the front. My breasts are inserted into holes on the table and gently squeezed and held in place by plastic barriers. The machine isn’t quite made for short people and I am only 5 foot 3, so it was a little uncomfortable","The machine isn’t quite made for short people and I am only 5 foot 3, so it was a little painful",contradiction,uncomfortable,painful
"Batting . 296 with 7 HR’s and 32 RBI’s, the five tool outfielder looks to be a lock for Rookie of the Year. When the Pirates management called up the 5’11” 175 lb McCutchen, they expected him to be good this early on in his career","When the Pirates management called up the 5’11” 175 lb McCutchen, they expected him to be great this early on in his career",entailment,good,great
"If you just want to build a little storage shed, doghouse, or privacy fence, there are certainly better options. If, instead, you’re trying to find ways to build storage and small-scale farm buildings, get this book first and then fill in any holes, if any, with other books. I’m personally aiming to acquire about 35 acres with a few hogs, chickens and alpacas, and this book provides buildings that are perfectly suited for this small scale","I’m personally aiming to acquire about 35 acres with a few hogs, chickens and alpacas, and this book provides buildings that are perfectly suited for this tiny scale",contradiction,small,tiny
"A high proportion of patients with Achilles tendonopathy will be helped by pursuing a course of exercises which involve standing on a step, going up onto tip toes using both legs and then taking all the weight through the bad leg before lowering down slowly. This should be fifteen times and three sets a day. It should be uncomfortable",It should be painful,entailment,uncomfortable,painful
"50 ERA starter, but its also possible they still dont feel thats worth bumping anyone from the current rotation. Last season when the Twins dumped Kendrys Morales and his remaining salary on the Mariners in late July they called up Kennys Vargas to replace him as the starting designated hitter. It was an unexpected move because Vargas was a good prospect putting up good numbers at Double-A as a 23-year-old",It was an unexpected move because Vargas was a great prospect putting up great numbers at Double-A as a 23-year-old,contradiction,good,great
"Pull his nose around to your knee and spur the opposite side to drive him in a circle. Then take his nose to the opposite side and turn him the other way. He cant buck in this position, and its uncomfortable for him","He cant buck in this position, and its painful for him",contradiction,uncomfortable,painful
"the deep blues are gone. I really pushed the processing on the second shot, trying to recapture those deep blues. Its good",Its great,neutral,good,great
The far left ramp is the only useable ramp. Not sure how much longer the ramp will be useable. The fishing was good,The fishing was great,contradiction,good,great
The curved arrow on the right side is a “reset” button (which will clear all keyframes and reset the parameter to its default setting). Not shown are left and right facing arrows that appear when the playhead is on either side of a set keyframe which can be used as a shortcut to set the playhead on the next or previous set keyframe. You can have a keyframe set on each frame possible,You can have a keyframe set on each frame practical,contradiction,possible,practical
"Harmonic feedback covering the entire chain is created when the air movement of the sound is sufficiently strong to cause movement of the strings and guitar relative to one another. Sustainer devices short circuit the entire process, creating a much shorter feedback loop. It is possible to achieve infinite sustain depending on how unsuited your tone chain is",It is practical to achieve infinite sustain depending on how unsuited your tone chain is,neutral,possible,practical
Cris our waiter was excellent. Key lime pie was top shelf. Food was good	,Food was great,entailment,good,great
"Perhaps, this was a double lot? This is a lot of property in the middle of a city. This remodeling allowed the family to rent out several rooms to tourists. Our room is small",Our room is tiny,entailment,small,tiny
"The reason we docked a few points is that it is solely a Bitcoin site with no other banking options and the setup of the site is heavy in Bitcoin meaning that you wont see anything in US dollars or Pounds or Euros. Everything is listed in Bitcoins which may be a little confusing at first if youre new to the currency. Overall, the site was good but does have quite a bit of room to grow","Overall, the site was great but does have quite a bit of room to grow",contradiction,good,great
"Of course, every person’s experience is different, and a lot of it depends on body type, distribution of fat, etc. Perhaps more treatments would have a different result, but I chose to stop at just one. I hope I answered your question, and I hope the info I provide will keep you reading – thanks for your comment! I just had SculpSure procedure yesterday, I read everywhere that it’s a little uncomfortable","I hope I answered your question, and I hope the info I provide will keep you reading – thanks for your comment! I just had SculpSure procedure yesterday, I read everywhere that it’s a little painful",neutral,uncomfortable,painful
"You can get Maclarens suitable from newborn perhaps one of them would fit. The Loola frame folds small too but I thought it was quite heavy and I have seen some reviews of people who are not a fan of theirs. We have a 3 door golf, a really old shape one, the boot is small we have got a iCandy Peach and it fits really well","We have a 3 door golf, a really old shape one, the boot is tiny we have got a iCandy Peach and it fits really well",entailment,small,tiny
"Thought the versatile character actor William Fichtner gave a great turn as the blind radio-astronomer, though. I read the book. It was good",It was great,neutral,good,great
"These boxes you will not find anywhere else!Basic palette - carefully selected from best velvet. Hand dyed palette - exclusively velvet dyed by hand. I used one of these boxes in a styled shoot and I may or may not have asked to keep it because this one was the perfect size, small","I used one of these boxes in a styled shoot and I may or may not have asked to keep it because this one was the perfect size, tiny",contradiction,small,tiny
"February, 2002 was the beginning of a journey no father wants to start. It actually began six months prior when my daughter, Wendy, developed vague abdominal complaints. After six months of different doctors, and three different diagnoses, I flew to her because of the development of an uncommon phenomenon called “paraneoplastic acrosyndrome”, which, in her case was demonstrated as occlusion of the blood supply to her fingers – all ten fingers","After six months of different doctors, and three different diagnoses, I flew to her because of the development of an rare phenomenon called “paraneoplastic acrosyndrome”, which, in her case was demonstrated as occlusion of the blood supply to her fingers – all ten fingers",entailment,uncommon,rare
"Toler made about 22 Chan films (some for Fox who then abandoned them and Toler bought the rights and made the rest with Monogram Pictures) until he passed away in 1947. To milk the last out of the money teat that was the Chan franchise, they hired American actor Roland Winters to film the last 6 pictures. In my honest opinion, Oland was the best Chan, Toler was good and Winters was a disaster","In my honest opinion, Oland was the best Chan, Toler was great and Winters was a disaster",entailment,good,great
"As for flavor, there was some flavor but I did not feel as if any of these had an overpowering flavor. They were cooked with butter of some kind and it was almost as if the vegetables took on this flavor more than the actual vegetable taste. My first meal in the DR was good",My first meal in the DR was great,entailment,good,great
"She always mentioned to me that the juice was really delicious. While for their coffee; I chose their latte. Well, my conclusion for the coffee was good","Well, my conclusion for the coffee was great",contradiction,good,great
"” The prep space is open so you can watch them prepare, which is nice. However they use the same toaster as the gluten-containing bagels!! This is just a no-go. I ended up having an un-toasted bagel, which was still good","I ended up having an un-toasted bagel, which was still great",entailment,good,great
"The camera manufacturers solution? Filtration, and lots of it. The trick to avoiding photos with red, pink and blue hues is to filter out most IR and UV before the light rays hit the sensor. While most manufacturers now have it mastered, some of their older models did a good job of it","While most manufacturers now have it mastered, some of their older models did a great job of it",neutral,good,great
"Would I buy this again? For me, Trader Joe’s Fully Cooked Baby Back Ribs is a yes. They are tender and they are ready fairly quickly. The BBQ sauce was good and I think that’s the area for improvement",The BBQ sauce was great and I think that’s the area for improvement,contradiction,good,great
"The second dish that was ordered was the Spiced Beef Hummus. It consisted of pickled radish, harissa, buttered almonds, and snow-shoe naan. This dish was good",This dish was great,contradiction,good,great
"The procedure itself consists of a handheld device that sprays very fine particles onto your face while simultaneously vacuuming them away. The effect is to mechanically exfoliate the top layer of skin. You may feel a scratching sensation, which is uncomfortable","You may feel a scratching sensation, which is painful",contradiction,uncomfortable,painful
"All in all, Li-phosphate batteries are much safer than Li-Ion batteries. It’s also important to look at the discharge characteristics of these batteries. Li-Ion’s voltage discharge is good",Li-Ion’s voltage discharge is great,neutral,good,great
"my very own Nikon D70! Boy, was I a happy camper! Off course, I took it with the kit lens which was a Nikkor 18-70mm. I didn’t know much about lenses back then. But I had read that this lens was a good average lens",But I had read that this lens was a great average lens,contradiction,good,great
"2 - Imperiled (typically having 6 to 20 occurrences, or 1,001 to 3,000 individuals). 3 - Vulnerable (rare; typically having 21 to 100 occurrences, or 3,001 to 10,000 individuals). 4 - Apparently secure (uncommon but with some cause for long-term concern; typically having 101 or more occurrences, or 10,001 or more individuals)","4 - Apparently secure* rare but with some cause for long-term concern; typically having 101 or more occurrences, or 10,001 or more individuals)",contradiction,uncommon,rare
"17,000 - 37,000 above - Depends on views. Personally i checked i20 Elite. Its good interiors are nice looking for sure, but dont have great quality","Its great interiors are nice looking for sure, but dont have great quality",neutral,good,great
"By the end of eating the Lasagna it was cold. Overall the service was decent, but not great. The food overall was good",The food overall was great,contradiction,good,great
2. Texas Tech: Tech will be good which is basically what you can say about any of Mike Leachs teams,Texas Tech: Tech will be great which is basically what you can say about any of Mike Leachs teams,neutral,good,great
Before the VETO one I had a much slimmer pouch which held half as much hand tools and so I find this one a bit big for me. So much so that I only load it half way most of the time. The build quality is good (I did say I would be brutally honest),The build quality is great (I did say I would be brutally honest),contradiction,good,great
"We sampled all three sauces. The overwhelming consensus is that we were underwhelmed. The winners were the ribs, they had a nice smoky flavor and were huge, the coleslaw -- sweet but not too sweet and crsipy, the coller greens,the medium BBQ sauce, good sauce -- very tomatoey based, almost like liquid smoke and spices were added to a classic italian gravy","The winners were the ribs, they had a nice smoky flavor and were huge, the coleslaw -- sweet but not too sweet and crsipy, the coller greens,the medium BBQ sauce, great sauce -- very tomatoey based, almost like liquid smoke and spices were added to a classic italian gravy",entailment,good,great
It is also Holmes Vs. Count Dracula. It is a good story,It is a great story,contradiction,good,great
"Kidding, take your time. Really like the look of those comets. Hot jupiters are uncommon, however I dont know how many known ones would count as evaporating","Hot jupiters are rare, however I dont know how many known ones would count as evaporating",entailment,uncommon,rare
"My T3 and T4 thyroid hormones looked in a perfectly normal range !Like the other reviewers have mentioned that the DVD is very well done,good voice over, Excellent music that goes well with the exercises. The innovative MATRIX system which was very helpful to pick and choose the exercises. neck feels uncomfortable : Very important point",neck feels painful : Very important point,neutral,uncomfortable,painful
"This results in skin tightening, reduction in pore size, a decrease in fine lines and wrinkles, lightening of dark age spots, and a more youthful appearance of the skin. This is a powerful technology and you should plan to be out of the public eye for about a week. Recovery is usually described as mildly to moderately uncomfortable",Recovery is usually described as mildly to moderately painful,entailment,uncomfortable,painful
"The problem is that with a great number of these dating sites comes the question — which ones are actually worth my time and money? We took it upon ourselves to investigate the world of golf dating websites and we have come up with this useful ranking of the best dating websites for golfers. Triple bogey three strokes over par In a typical professional tournament or among “scratch” amateur players, “birdie-bogey” play is common; a player will “lose” a stroke by bogeying a hole, then “gain” one by scoring a birdie. Eagles are uncommon, however, only 18 players have scored an albatross in a men’s major championship","Eagles are rare, however, only 18 players have scored an albatross in a men’s major championship",contradiction,uncommon,rare
"Achalasia (Latin; a=absence, chalus=relaxation) is a disease of unknown cause, where the nerves at the lower end of the oesophagus degenerate. As a result the lower oesophageal sphincter (LOS) fails to relax properly during eating and remains closed. Achalasia is uncommon, and has a prevalence of 10 cases per 100,000 population","Achalasia is rare, and has a prevalence of 10 cases per 100,000 population",neutral,uncommon,rare
"They will market to both new potential customers and existing members. Thanks, I was actually referring to the original Star advertiser image that Frank posted. Shock of Survival was good",Shock of Survival was great,contradiction,good,great
"Original harolds chicken corporate website was founded in 1950 by harold pierce we have dozens of locations across chicago and indiana serving hot and delicious chicken and fish. Good but not great review of harolds chicken, madison. Harolds chicken: good see 2 traveler reviews, candid photos, and great deals for madison, wi, at tripadvisor","Harolds chicken: great see 2 traveler reviews, candid photos, and great deals for madison, wi, at tripadvisor",entailment,good,great
"It only took me 10 years, but I finally found my dream preschool schedule. Call it the preschooltopia of all schedules. I spent years adapting schedules that were good",I spent years adapting schedules that were great,entailment,good,great
"Feels like the jaws aren’t attached right, but I am 8 weeks post surgery and I expect it will get better soon!Thanks for replying! I am just happy my surgeon doesn’t think the bone fractured. I notice people talking about having painful spasms. I have this weird, uncomfortable thing where my bottom jaw will quickly shift to one side and back again","I have this weird, painful thing where my bottom jaw will quickly shift to one side and back again",entailment,uncomfortable,painful
"You know what? Wirfs says Ferentz is right. Iowa’s tackles during Ferentz’s era have always been good at throwing around opponents, or just flattening them into irrelevance. Wirfs has been good and when it comes to the offensive line, Ferentz wants great, or at least as close to it as possible","Wirfs has been great and when it comes to the offensive line, Ferentz wants great, or at least as close to it as possible",contradiction,good,great
"If not, you may need to get yourself a hack machine to bridge the gap. Parallel is an option but cant remember if ctty works with it, FX2 does. Edit3: Im also assuming you have a spare disk with space on it - FX or FX2 are quite small in the 150Kb+ range from memory",Edit3: Im also assuming you have a spare disk with space on it - FX or FX2 are tiny in the 150Kb+ range from memory,entailment,small,tiny
"The colors are striking - these seem to be done more in the vein of designer toys, those $100 vinyl guys you wont buy from Japan. A bright red plastic body may be the brightest toy you see in the aisles this month, measuring in at about 7 1/2-inches long from nose to tail. Its small - its a big enough canvas for a splash of metallic purple paint, brown stripes, and yellow outlines","Its tiny - its a big enough canvas for a splash of metallic purple paint, brown stripes, and yellow outlines",entailment,small,tiny
"It is THE best foodie mag on the Aussie market today and is literally like getting a new cookbook every quarter. Make sure all the bones are removed from the fish and the smoked trout. Cut the fish into small chunks and toss into the Thermomix with the butter, potato, lemon juice and zest, chilli, dill, curry powder, salt and black pepper","Cut the fish into tiny chunks and toss into the Thermomix with the butter, potato, lemon juice and zest, chilli, dill, curry powder, salt and black pepper",entailment,small,tiny
"Plus, the restaurant smells weird (stale & musty). A good cleaning & airing out could do wonders. I love Moroccan cuisine, but here the Food was good","I love Moroccan cuisine, but here the Food was great",contradiction,good,great
Online ESS Tool. • Hereditary Hemorrhagic Telangiectasia (AKA Olser-Weber-Rendu) is a multi-system vascular dysplasia. It is uncommon,It is rare,neutral,uncommon,rare
"4 million, and just a few feet away, Green Shades (1958) on sale for $3. 6 million by Yares Art. They were good works by the Washington-based “Color Field” artist",They were great works by the Washington-based “Color Field” artist,entailment,good,great
"The obstetrician then turned the baby, by holding the babys head with one hand (which just followed the baby), and by pushing the bottom with the other hand. This was all done externally through my wifes tummy. The obstetrician explained that this would be uncomfortable",The obstetrician explained that this would be painful,neutral,uncomfortable,painful
"Oscar is the type of pro who has a little of everything, but unfortunately not enough of anything to place higher in a pro bodybuilding contest such as this one. His structure is good, but not great. His conditioning is good and the mass he carries is good",His conditioning is great and the mass he carries is great,contradiction,good,great
g. if they require root or admin level access to properly function. It’s possible to try and pre-define all endpoints and edges because doing so erases the key benefits of the cloud,It’s practical to try and pre-define all endpoints and edges because doing so erases the key benefits of the cloud,contradiction,possible,practical
2. ) Patients typically describe it as “not painfulNumbing drops and valium should keep you comfortable during the procedure. Recovery over the next few hours (LASIK/SMILE) or days (LASEK) is uncomfortable,Recovery over the next few hours (LASIK/SMILE) or days (LASEK) is painful,contradiction,uncomfortable,painful
"9,223,891 the entire contents of each of which are hereby expressly incorporated herein by this reference including, without limitation, the specification, claims, and abstract, as well as any figures, tables, or drawings thereof. The present invention relates generally to the field of computer networks, and more particularly to methods and systems for generating and reusing dynamic web content. Currently, it is possible for a developer to reuse a component created by another developer","Currently, it is practical for a developer to reuse a component created by another developer",entailment,possible,practical
Self-massage with something like a golf ball or rolling pin to the medial arch of the foot can help. The heel raise is performed on a floor or a step with the toes extended on a rolled-up towel. The exercise should be uncomfortable we would normally say a maximum pain of 4 out of 10,The exercise should be painful we would normally say a maximum pain of 4 out of 10,contradiction,uncomfortable,painful
"Rendez–Vous Dans Un Bois is also very poor, let me say that, it’s just prolonged to over four minutes interlude. Unfortunately, I don’t expect Throw Out Rite to live long. This album is just too weird, too not up-to-date, too unbalanced to reach modern listeners who would look at it like an educated man looks at good abstract piece of art – with straight face but with no understanding","This album is just too weird, too not up-to-date, too unbalanced to reach modern listeners who would look at it like an educated man looks at great abstract piece of art – with straight face but with no understanding",contradiction,good,great
